Registration Number;Room;Course;Days of the Week;Time;Instructor;Credits;Description;
V01107887;B3158;Principles of Computer and Information Security (INFO 544);Monday, Tuesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107888;B2175;Data Mining (INFO 614);Friday, Monday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107888;B1117;Analysis of Design of Database Systems (INFO 610);Monday, Tuesday, Thursday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107888;B2177;Principles of Computer and Information Security (INFO 544);Thursday, Monday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107888;B2157;Systems Development (INFO 530);Monday, Tuesday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107889;B2175;Analysis of Design of Database Systems (INFO 610);Wednesday, Thursday, Friday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107889;B2157;Principles of Computer and Information Security (INFO 544);Thursday, Monday, Friday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107889;B2166;Data Communications (INFO 520);Friday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107889;B1117;Data Mining (INFO 614);Friday, Wednesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107890;B2175;Information Systems Management (INFO 640);Friday, Wednesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107890;B2175;Systems Development (INFO 530);Monday, Tuesday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107890;B2166;Data Communications (INFO 520);Tuesday, Wednesday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107890;B2165;Analysis of Design of Database Systems (INFO 610);Tuesday, Friday, Monday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107891;B2166;Data Communications (INFO 520);Wednesday, Friday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107891;B1117;Principles of Computer and Information Security (INFO 544);Tuesday, Friday, Thursday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107891;B2177;Information Systems Management (INFO 640);Thursday, Friday, Monday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107891;B3158;Analysis of Design of Database Systems (INFO 610);Tuesday, Friday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107892;B2155;Analysis of Design of Database Systems (INFO 610);Monday, Tuesday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107892;B2165;Information Systems Management (INFO 640);Thursday, Monday, Friday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107892;B2166;Data Mining (INFO 614);Friday, Tuesday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107892;B2177;Data Communications (INFO 520);Monday, Tuesday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107893;B1117;Analysis of Design of Database Systems (INFO 610);Monday, Thursday, Friday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107893;B3115;Systems Development (INFO 530);Monday, Friday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107893;B2175;Data Communications (INFO 520);Tuesday, Monday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107893;B2155;Principles of Computer and Information Security (INFO 544);Tuesday, Friday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107894;B2157;Systems Development (INFO 530);Wednesday, Thursday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107894;B2175;Data Mining (INFO 614);Wednesday, Monday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107894;B2155;Analysis of Design of Database Systems (INFO 610);Thursday, Tuesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107894;B3176;Information Systems Management (INFO 640);Friday, Wednesday, Monday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107895;B3115;Analysis of Design of Database Systems (INFO 610);Thursday, Monday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107895;B2175;Principles of Computer and Information Security (INFO 544);Friday, Tuesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107895;B2166;Data Mining (INFO 614);Tuesday, Wednesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107895;B2165;Data Communications (INFO 520);Tuesday, Wednesday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107896;B2166;Systems Development (INFO 530);Tuesday, Thursday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107896;B2165;Information Systems Management (INFO 640);Thursday, Tuesday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107896;B3115;Principles of Computer and Information Security (INFO 544);Monday, Wednesday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107896;B3176;Analysis of Design of Database Systems (INFO 610);Wednesday, Tuesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107897;B2155;Principles of Computer and Information Security (INFO 544);Wednesday, Friday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107897;B3158;Information Systems Management (INFO 640);Thursday, Friday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107897;B2175;Data Mining (INFO 614);Tuesday, Monday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107897;B3115;Data Communications (INFO 520);Thursday, Friday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107898;B2175;Data Mining (INFO 614);Friday, Monday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107898;B2157;Principles of Computer and Information Security (INFO 544);Monday, Friday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107898;B3115;Data Communications (INFO 520);Friday, Wednesday, Thursday;Morning (10:00 am - 11:15 am);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107898;B3176;Systems Development (INFO 530);Thursday, Wednesday, Friday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107899;B1117;Analysis of Design of Database Systems (INFO 610);Monday, Thursday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.
V01107899;B3158;Data Mining (INFO 614);Thursday, Wednesday, Friday;Morning (10:00 am - 11:15 am);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107899;B2165;Principles of Computer and Information Security (INFO 544);Wednesday, Tuesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107899;B2155;Systems Development (INFO 530);Monday, Friday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107900;B2165;Analysis of Design of Database Systems (INFO 610);Wednesday, Tuesday, Friday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107900;B1117;Data Mining (INFO 614);Friday, Monday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107900;B3176;Information Systems Management (INFO 640);Monday, Friday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107900;B2175;Systems Development (INFO 530);Tuesday, Wednesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107901;B1117;Analysis of Design of Database Systems (INFO 610);Monday, Tuesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107901;B2155;Systems Development (INFO 530);Monday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107901;B2175;Data Communications (INFO 520);Friday, Monday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107901;B2165;Information Systems Management (INFO 640);Thursday, Friday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107902;B3176;Data Communications (INFO 520);Monday, Thursday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107902;B2157;Analysis of Design of Database Systems (INFO 610);Monday, Wednesday, Friday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107902;B2177;Principles of Computer and Information Security (INFO 544);Monday, Friday, Thursday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107902;B2166;Data Mining (INFO 614);Monday, Thursday, Tuesday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107903;B2157;Data Mining (INFO 614);Thursday, Monday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107903;B3115;Information Systems Management (INFO 640);Monday, Friday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107903;B3176;Systems Development (INFO 530);Tuesday, Monday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107903;B2177;Principles of Computer and Information Security (INFO 544);Monday, Thursday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107904;B1117;Information Systems Management (INFO 640);Thursday, Wednesday, Friday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107904;B3158;Data Mining (INFO 614);Thursday, Monday, Wednesday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107904;B3115;Data Communications (INFO 520);Wednesday, Monday, Thursday;Morning (10:00 am - 11:15 am);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107904;B2175;Analysis of Design of Database Systems (INFO 610);Friday, Wednesday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107905;B2177;Information Systems Management (INFO 640);Thursday, Tuesday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107905;B3158;Systems Development (INFO 530);Monday, Tuesday, Friday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107905;B2166;Analysis of Design of Database Systems (INFO 610);Friday, Monday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107905;B2157;Principles of Computer and Information Security (INFO 544);Monday, Tuesday, Thursday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107906;B3158;Analysis of Design of Database Systems (INFO 610);Monday, Tuesday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107906;B2155;Data Mining (INFO 614);Friday, Thursday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107906;B2166;Information Systems Management (INFO 640);Friday, Monday, Wednesday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107906;B2175;Data Communications (INFO 520);Monday, Friday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107907;B2177;Principles of Computer and Information Security (INFO 544);Tuesday, Friday, Monday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107907;B2175;Information Systems Management (INFO 640);Monday, Wednesday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107907;B2166;Analysis of Design of Database Systems (INFO 610);Tuesday, Thursday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107907;B2155;Data Mining (INFO 614);Thursday, Tuesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107908;B3115;Analysis of Design of Database Systems (INFO 610);Tuesday, Thursday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107908;B2166;Data Mining (INFO 614);Friday, Tuesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107908;B1117;Information Systems Management (INFO 640);Tuesday, Thursday, Monday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107908;B2165;Data Communications (INFO 520);Wednesday, Monday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107909;B2165;Data Mining (INFO 614);Wednesday, Tuesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107909;B2175;Information Systems Management (INFO 640);Tuesday, Friday, Thursday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107909;B2157;Analysis of Design of Database Systems (INFO 610);Friday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107909;B3176;Principles of Computer and Information Security (INFO 544);Wednesday, Thursday, Friday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107910;B1117;Information Systems Management (INFO 640);Friday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107910;B2175;Analysis of Design of Database Systems (INFO 610);Wednesday, Thursday, Tuesday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107910;B3115;Data Communications (INFO 520);Wednesday, Friday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Pramodkumar;3 credits;This course introduces the principles and technologies behind data communication systems. Topics include network architecture, protocols, data transmission, error detection, and emerging technologies in communication networks.;
V01107910;B2166;Principles of Computer and Information Security (INFO 544);Thursday, Tuesday, Friday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107911;B2175;Principles of Computer and Information Security (INFO 544);Monday, Wednesday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107911;B2155;Analysis of Design of Database Systems (INFO 610);Friday, Monday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107911;B1117;Information Systems Management (INFO 640);Wednesday, Thursday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107911;B2175;Data Mining (INFO 614);Friday, Wednesday, Monday;Evening (7:00 pm - 9:40 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107912;B2165;Data Mining (INFO 614);Wednesday, Monday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Holzem;3 credits;This course provides an introduction to data mining techniques used for extracting useful patterns from large datasets. Topics include classification, clustering, association rules, and machine learning algorithms.;
V01107912;B3176;Information Systems Management (INFO 640);Friday, Wednesday, Tuesday;Morning (10:00 am - 11:15 am);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107912;B2157;Principles of Computer and Information Security (INFO 544);Tuesday, Friday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107912;B2177;Analysis of Design of Database Systems (INFO 610);Monday, Thursday, Friday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107913;B2155;Systems Development (INFO 530);Thursday, Wednesday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
V01107913;B2157;Information Systems Management (INFO 640);Friday, Thursday, Monday;Afternoon (3:00 pm - 4:15 pm);Prof. Skaritza;3 credits;This course addresses the strategic and managerial aspects of information systems in organizations. Students learn about IT governance, information resource management, and the role of information systems in decision-making processes.;
V01107913;B3176;Analysis of Design of Database Systems (INFO 610);Monday, Wednesday, Thursday;Morning (10:00 am - 11:15 am);Prof. Etudo;3 credits;This course covers the principles and techniques used in the design and implementation of database systems. Topics include data modeling, normalization, SQL, and database management system (DBMS) architecture.;
V01107913;B2175;Principles of Computer and Information Security (INFO 544);Tuesday, Thursday, Wednesday;Evening (7:00 pm - 9:40 pm);Prof. Elizabeth Baker;3 credits;This course focuses on the foundational concepts of computer security and information assurance. Topics include cryptography, security protocols, risk management, and the legal aspects of cybersecurity.;
V01107914;B3158;Systems Development (INFO 530);Friday, Wednesday, Thursday;Evening (7:00 pm - 9:40 pm);Prof. Etudo;3 credits;This course covers methodologies and tools for developing information systems. Students will learn about the systems development life cycle (SDLC), project management, requirements analysis, and software design and testing techniques.;
